"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"rno04722","Organismal Systems","Nervous system","rno04722","Neurotrophin signaling pathway","108/5855","123/10049",6.16486410467877e-13,1.91110787245042e-11,8.0821663381913e-12,"Pik3r3/Foxo3/Mapk14/Mapk13/Sh2b2/Mapk1/Crkl/Gsk3b/Mapk9/Grb2/Irak3/Kidins220/Traf6/Crk/Sos2/Prdm4/Ywhae/Ngfr/Frs2/Irak4/Rps6ka3/Mapk11/Sos1/Rap1b/Calml4/Maged1/Nfkbia/Shc2/Map2k5/Shc4/Jun/Psen1/Ripk2/Raf1/Map2k1/Braf/Camk2d/Rps6ka2/Map3k1/Cdc42/Ntrk1/Shc3/Irs1/Pik3cb/Hras/Calm3/Gab1/Ntrk3/Pik3r1/Ikbkb/Prkcd/Pik3r2/Zfp110/Nfkbie/Nfkbib/Map2k2/Matk/Camk4/Shc1/Ntf4/Bax/Bad/Irak2/Sh2b3/Akt1/Nfkb1/Nras/Psen2/Camk2a/Ntrk2/Abl1/Mapk12/Rela/Bex3/Ptpn11/Tp53/Rap1a/Sort1/Map3k5/Arhgdia/Akt3/Rapgef1/Mapkapk2/Map2k7/Calm1/Rps6ka5/Mapk8/Atf4/Camk2g/Mapk10/Camk2b/Pdpk1/Rps6ka1/Sh2b1/Rhoa/Mapk7/Bdnf/Plcg1/Rps6ka6/Pik3ca/Rac1/Mapk3/Map3k3/Irak1/Akt2/Arhgdig/Calm2/Tp73",108
"rno04141","Genetic Information Processing","Folding, sorting and degradation","rno04141","Protein processing in endoplasmic reticulum","152/5855","184/10049",9.41253852312309e-13,2.67472969698748e-11,1.13115594532269e-11,"Dnajc1/Atf6b/Rnf5/Bak1/Sar1a/Ube2d1/Hsph1/Ube2g2/Erp29/Nfe2l2/Dnajb11/Sec31a/Ero1b/Mapk9/Rad23a/Calr/Ubxn4/Sel1l/Sec24a/Sec23a/Sar1b/Sec61g/Derl1/Atxn3/Cul1/Skp1/Traf2/Ngly1/Sec61b/Eif2ak3/Pdia4/Ddit3/Ero1a/Preb/Dnajc10/Dnaja1/Casp12/Tram1/Ckap4/Plaa/Bag1/Nsfl1c/Dad1/Sec24c/Fbxo2/LOC680121/Eif2s1/Ube2g1/Xbp1/Dnajc3/Sec13/Ssr3/Hspa4l/Man1b1/Selenos/Bag2/Stt3b/Ern1/Tusc3/Edem3/Prkcsh/Txndc5/Sec61a1/Ssr1/Ubxn8/Pdia3/Uggt1/Dnajc5/Mbtps1/Rad23b/Lman2/Dnaja2/Man1c1/Hspbp1/Hspa5/Herpud1/Edem2/Rnf185/Ubqln2/Dnajb2/Ubxn1/Ube2j2/Sil1/Hsp90ab1/Stub1/Ubqln4/Ssr2/Bax/Capn1/Syvn1/Marchf6/Atf6/Hsp90b1/Yod1/Wfs1/Ganab/Sec31b/Sec63/Ostc/Sec24b/Derl3/Sec61a2/Stt3a/Hspa8/Hyou1/Ppp1r15a/Dnajb12/Capn2/Vcp/Os9/Canx/Tmem258b/Erlec1/Map3k5/P4hb/Nploc4/Ube4b/Rrbp1/Svip/Man1a1/Ubqln1/Map2k7/Hspa1a/Sec23b/Sec24d/Mapk8/Atf4/Mapk10/Ube2d3/Man1a2/Ddost/Rpn2/Ubxn6/Ufd1/Rpn1/Hspa1l/Pdia6/Ube2j1/Prkn/Magt1/Amfr/Ssr4/Mogs/Lman1/Hsp90aa1/Rbx1/Mbtps2/Edem1/Derl2/Bcap31/Ube2d2/Fbxo6",152
"rno05016","Human Diseases","Neurodegenerative disease","rno05016","Huntington disease","262/5855","344/10049",1.15518219174262e-12,3.0301317491095e-11,1.28145716816793e-11,"Dnah8/Hdac2/Tfam/Nrbf2/Wipi2/Cox6a1/Ndufv3/Polr2j/Psmb1/Tbp/Atp5pf/Psmd2/Polr2h/Ift57/Atp5po/Sod1/LOC100363472/Ndufb4/Ulk2/Atp5f1b/Mapk9/Dnah17/Sdhc/Psmd12/Tuba4a/Atp5pd/Wipi1/Psmc1/Dnah9/Cltc/Cacna1b/Kif5c/Plcb1/Crebbp/Dnah11/Ndufa4/Slc1a2/Kif5a/Creb3l1/Dctn2/Traf2/Cyct/Vdac1/Ndufa7/Psmd6/Gria4/Psmc6/Psma6/Ndufa12/Atg101/Actr10/Cox4i2/Sdhb/Psma3/Apaf1/Ndufb11/Ndufa6/Nrf1/Ndufb9/Ndufs3/Hdac1/Ndufb2/Dctn1/Sem1/Tubb4b/Polr2k/Psmc5/Cycs/Casp3/Mtor/Cox6c/Slc25a4/Polr2f/Slc25a5/Slc25a6/Ndufs4/Psmb2/Psmc3/Klc1/Psma1/Ndufb5/Ndufb3/Atg14/Psmc2/Ndufc2/Uqcrh/Ndufv2/Cyc1/Creb3l2/Ern1/Dctn6/Casp9/Psmb5/Polr2e/Psma4/Creb1/Tgm2/Sdha/Vdac2/Pik3r4/Ndufb8/Psmd7/Gnaq/Dctn3l1/Sp1/Dctn3/Ndufb10/Psmd13/Clta/Ap2a1/Hap1/Atp5f1d/Atp5mc2/Dnal4/Ap2s1/Uqcrc2/Polr2c/Polr2d/Atp5pb/Ndufa10/Cox5b/Actr1b/Atg13/Atp5f1a/Tubb3/Ndufs8/Cltb/Ndufa2/Kif5b/Cox4i1/Psmd1/Dctn5/Ndufab1/Ndufv1/Uqcrfs1/Tubb6/Cox5a/Sod2/Psmc4/Vdac3/Polr2g/Dctn4/Psmb6/Actr1a/Cox6a2/Psma5/Psmd8/Ndufa13/Polr2i/Bax/Psmb4/Psmd4/Plcb3/Ndufs6/Ndufb6/Hip1/Klc4/Cox6b1/Tuba1c/Map3k10/Ndufb7/Ndufs5/Dnal1/Uqcrb/Taf4b/Cox7a2l2/Cox7a2/Dnai2/Polr2b/Ndufs7/Psmd3/ND2/Klc2/ND3/CYTB/Uqcrc1/RGD1560263/Plcb4/ND4/Itpr1/COX2/Grin1/ND4L/Ndufa8/Ndufa4l2/Ambra1/ATP6/ATP8/Tp53/ND1/ND5/Stx1a/COX3/COX1/ND6/Map3k5/Cox7c/Ulk1/Ap2m1/Htt/Atp5mc3/Ndufs2/Sin3a/Sdhd/Map2k7/Rb1cc1/Ap2a2/Psmd11/Atp5f1c/Mapk8/Cox7a2l/Creb3/Mapk10/Pik3c3/Dnai1/Polr2a/Klc3/Dlg4/Ndufa11/LOC100361879/Gpx1/Bdnf/Psma2/Rcor1/Tubb1/Tubb4a/Becn1/Gria2/Dnah12/Tubb5/Tuba1b/Tuba1a/Ndufa1/Psma7/Psmd14/Taf4/Dnah10/Uqcr10/Ap2b1/Psmb7/Tubb2a/Psmb3/Ndufa9/Cox7b/Atg2a/Dnah2/Adrm1/Ndufa10l1/Ndufa5/Bbc3/Ndufs1/Uqcrq/Ppargc1a/Ppif/Slc1a3/Ndufc1/Dnah3/Ep300/Tbpl1/Creb5/LOC120097699/Kcnj10",262
"rno04068","Environmental Information Processing","Signal transduction","rno04068","FoxO signaling pathway","116/5855","136/10049",6.89402951046668e-12,1.67918861647795e-10,7.10136874386417e-11,"Pik3r3/Atg12/Foxo3/Mapk14/Mapk13/Prkab1/Irs3/Bcl6/Mapk1/Ccng2/Tgfb2/Mapk9/Grb2/LOC100361025/Egfr/Rag2/Sos2/Crebbp/Gadd45a/Mapk11/Sos1/Tgfbr1/Fbxo32/Prkaa2/Cat/Nlk/Tgfb3/Raf1/Map2k1/Braf/Ins1/Sgk1/Plk2/Plk4/Rbl2/Prkaa1/Setd7/Depp1/Foxo1/Gadd45g/Igf1r/Irs1/Pik3cb/Hras/Bcl2l11/Slc2a4/Bnip3/Gabarap/Plk3/Pck2/Plk1/Pik3r1/Sod2/Ikbkb/Pik3r2/Stat3/Gadd45b/Map2k2/Homer3/Ins2/G6pc1/Tgfb1/Pten/G6pc3/Chuk/Akt1/Cdk2/Irs2/Nras/Smad3/Araf/Sgk2/Mapk12/Usp7/Foxo4/Gabarapl2/Cdkn1b/Atm/Foxo6/Akt3/Stk11/Prkab2/Prmt1/Mapk8/Fbxo25/Mapk10/Stk4/Mdm2/Insr/Pdpk1/Homer1/Sgk3/Foxg1/Gabarapl1/Sirt1/Smad4/Ccnb1/Prkag1/Pik3ca/Agap2/Mapk3/Homer2/Csnk1e/Ccnd1/Skp2/Egf/Cdkn1a/Prkag2/Cdkn2d/Ccnd2/Ccnb2/Akt2/Il6/Klf2/Ep300/Tnfsf10",116
"rno05017","Human Diseases","Neurodegenerative disease","rno05017","Spinocerebellar ataxia","125/5855","152/10049",1.84730293557866e-10,4.19953534021548e-09,1.77600352403001e-09,"Pik3r3/Nrbf2/Wipi2/Atxn2/Atp2a2/Psmb1/Tbp/Opa1/Psmd2/LOC100363472/Ulk2/Mapk9/Psmd12/Prkca/Wipi1/Psmc1/Plcb1/Atxn3/Traf2/Cyct/Pum2/Vdac1/Psmd6/Oma1/Nop56/Psmc6/Psma6/Dab1/Atg101/Psma3/Rora/Sem1/Psmc5/Xbp1/Cycs/Mtor/Slc25a4/Gtf2b/Slc25a5/Slc25a6/Psmb2/Psmc3/Pum1/Psma1/Atg14/Prkcb/Psmc2/Grin3b/Nfya/Ern1/Psmb5/Psma4/Vdac2/Pik3r4/Psmd7/Gnaq/Sp1/Psmd13/Kcnd3/Atxn10/Pik3cb/Atg13/Atxn1/Psmd1/Afg3l2/Pik3r1/Psmc4/Vdac3/Pik3r2/Psmb6/Psma5/Kcnc3/Ryr1/Psmd8/Psmb4/Psmd4/Grin2d/Plcb3/Afg3l1/Twnk/Akt1/Vldlr/Pdyn/Psmd3/Itpr2/Fgf14/RGD1560263/Plcb4/Itpr1/Grin1/Ambra1/Map3k5/Ulk1/Akt3/Atxn1l/Rb1cc1/Psmd11/Atp2a3/Mapk8/Mapk10/Pik3c3/Atxn2l/Mcu/Rbpj/Psma2/Becn1/Gria2/Psma7/Psmd14/Cacna1a/Pik3ca/Psmb7/Psmb3/Sptbn2/Kat5/Atg2a/Itpr3/Cic/Adrm1/Akt2/Prkcg/Ppif/Bean1/Tbpl1/Rbpjl",125
"rno03013","Genetic Information Processing","Translation","rno03013","Nucleocytoplasmic transport","101/5855","119/10049",2.9558954552877e-10,5.92917853090062e-09,2.50747787847935e-09,"Thoc3/Kpna6/Ddx39b/Ran/Pom121/Nup153/Ncbp2/Senp2/Nup54/Tmem33/Thoc6/Sumo2/Nup85/Pnn/Tnpo2/Nxt1/Nup37/Snupn/Nup210/Nup88/Nup107/Xpot/Thoc2/Cse1l/Thoc7/Rnps1/Ipo9/Thoc5/Kpnb1/Nmd3/Nup35/Casc3/Eef1a1/Nup42/Xpo4/Ipo7/Xpo1/Ndc1/Sec13/Kpna4/Nup205/Ipo5/Eef1a2/Nup58/Magoh/Nup50/Xpo7/Aaas/Acin1/Phax/Tnpo1/Gle1/Kpna2/Sumo1/Xpo6/Nup133/Ddx19a/Nup93/Nxt2/Xpo5/Nxf1/Ipo4/Ipo13/Nup98/Rbm8a/Nup160/Ncbp1/Nup188/Upf3b/Kpna3/Ahctf1/Nup214/Rae1/Tnpo3/Kpna5/Thoc1/Rangap1/Alyref/Srrm1/Upf2/Ranbp17/Thoc2l/Tpr/Magohb/Upf3a/Ranbp2/Senp18/Eif4a3/Nup43/Nup62/Kpna1/Ipo8/Nup155/Ddx19b/Nup210l/LOC100360413/Ube2i/Pym1/Upf1/LOC100359600/Sap18",101
"rno04114","Cellular Processes","Cell growth and death","rno04114","Oocyte meiosis","101/5855","119/10049",2.9558954552877e-10,5.92917853090062e-09,2.50747787847935e-09,"Ppp2r5a/Mapk14/Mapk13/Anapc16/Mad1l1/Anapc7/Anapc5/Ywhag/Mapk1/Smc1a/Pkmyt1/Pttg1/Adcy3/Anapc4/Ppp1cb/Cpeb2/Adcy8/Ywhae/Mad2l1/Ppp2r5c/Cul1/Ppp2ca/Skp1/Cdc27/Rps6ka3/Ar/Mapk11/Calml4/Ccne2/Anapc13/Ppp3cc/Map2k1/Fbxo43/Ppp2r1a/Anapc2/Slk/Camk2d/Ins1/Ywhab/Espl1/Rps6ka2/Igf1r/Smc3/Ccne1/Ppp2cb/Btrc/Calm3/Ppp2r5d/Cdc16/Anapc10/Ppp1ca/Plk1/Cpeb1/Anapc15/Ins2/Ppp2r5b/Fbxo5/Cdk2/Ywhaz/Cdc20/Cdc25c/Cdc23/Pgr/Itpr2/Camk2a/Prkaca/Itpr1/Mapk12/Cpeb3/Ppp3ca/Ppp1cc/Adcy5/Bub1/Aurka/Mad2l2/Anapc1/Fbxw11/Ppp2r1b/Calm1/Cpeb4/Camk2g/Sgo1/Camk2b/Rps6ka1/Prkacb/Adcy9/Ppp2r5e/Ywhaq/Rps6ka6/Ppp3cb/Adcy6/Ccnb1/Ywhah/Rbx1/Cdk1/Mapk3/Adcy1/Itpr3/Ccnb2/Ppp3r2/Calm2",101
"rno05168","Human Diseases","Infectious disease: viral","rno05168","Herpes simplex virus 1 infection","308/5855","425/10049",3.74411102098975e-10,7.09301032309725e-09,2.99966789400933e-09,"Pik3r3/Zfp354c/Tap2/Tap1/Daxx/Bak1/Srpk1/RT1-M3-1/RT1-N3/RT1-S3/Eif2ak1/Rbak/Srsf9/Zfp68/Oas1b/Eif2b5/Ifngr2/Calr/Zfp386/Zfp472/Traf6/Ppp1cb/LOC102546572/Srsf5/Map3k7/Birc3/Eif2b4/Irak4/Traf2/Cyct/Srsf6/Eif2ak3/Nectin1/Eif2b2/Zfp398/Zfp248/Zfp212/Eif2ak4/Zfp746/Tbk1/LOC108348125/Zfp189/Ifih1/Nfkbia/Bcl2l1/Apaf1/Traf3/Zfp623/Src/Srsf4/Eif2s1/Cycs/Casp3/Mtor/Birc2/Zfp53/Zfp40/Zfp869/Zfp868/Tsc2/Ifngr1/Bid/Tsc1/Syk/Casp9/Myd88/Tnfrsf14/Zfp717/Zfp788/Stat1/Zfp39/Tradd/Pdia3/Zfp78/Zfp28/Zfp418/Zfp709/Tab2/Pik3cb/LOC102547287/Zfp612/Zfp169/B2m/Irf7/Zfp874b/Znf768/Zfp719/Zfp819/Zfp688/Zfp689/Ppp1ca/Nectin2/C5/LOC102553760/Pik3r1/Zfp1/Ikbkb/Fas/Zfp606/Nxf1/Zfp180/Zfp108/Pik3r2/Zfp61/Zfp94/Irf9/Zfp90/Irf3/Zfp790/Zfp251/Zfp382/Bax/Bad/Znf846/Ifnar1/Zfp69/Zfp879/Zfp715/Zfp112/Zfp157/Chuk/Akt1/LOC100125368/Zfp133/Rnasel/Zfp458/Znf780b/Zfp780b/Zfp949/Zfp14/Zfp334/Mavs/Zfp317/Zfp866/LOC108348302/LOC691170/LOC102548389/Zfp84/Nfkb1/Zfp324/Zfp282/Zfp791/Zfp473/Zfp426/Zfp26/Oas1a/Srsf7/Zfp777/Zfp786/Zfp12/Cfp/Zfp867/Zfp583/LOC108348090/Znf354b/LOC100910577/RT1-M6-1/RT1-M6-2/Tyk2/Zfp605/Zfp455/Zfp954/Zfp873/RT1-Db2/Zfp870/Zfp266/Oas1i/Pml/Zfp455l1/Zfp952/LOC100909682/Tapbp/Zfp597/Rela/Zfp641/Zfp354a/Zfp7/Ptpn11/Tp53/Zfp709l1/RT1-T24-4/Pou2f1/Zfp951/Tnfrsf1a/Ppp1cc/RT1-CE2/Stat2/Zfp52/RT1-N2/Zfp111/RGD1561413/Zfp764/Zfp316/Alyref/Zfp37/Akt3/Rig1/RT1-CE16/RT1-T24-3/Zfp667/Jak1/Zfp9/Zfp707l1/Zfp707/Zfp964/Zfp267/Srsf2/Tab1/Sting1/RT1-DMa/Zfp560/LOC102551340/Traf5/Rheb/LOC102549842/Oas2/Zfp773-ps1/Zik1/Ticam1/Zfp420/Zfp568/Eif2ak2/Ifnar2/Srsf1/Zfp182/C3/Zfp853/Zfp617/Zfp566/Zfp658/Zfp708/Fadd/Zfp647/Hcfc1/Eif2b1/Zfp184/Zfp54/Zfp677/Ikbkg/RT1-CE11/Zfp275/Giot1/Zfp51/RGD1561277/Zfp763/Zfp758/Zfp599/RT1-CE1/RT1-O1/Zfp59/Pik3ca/Pou2f2/Zfp92/Hcfc2/Jak2/LOC100912787/Zfp799/Itga5/Zfp160/Zfp94l1/LOC102548917/Zfp933/Bst2/Irak1/Srsf3/Zfp27/LOC691135/LOC102554605/Zfp619/Eif2b3/LOC120094815/Eif4ebp1/LOC100909998/LOC102555644/Zfp74/RT1-CE15/LOC102550657/Zfp712/LOC102555317/LOC100911320/LOC102552000/LOC102549249/Zfp948/Akt2/Zfp46/LOC102553278/Zfp958/Zfp563/Zfp81/Il6/RT1-DOb/Zfp748/Zfp956/Zfp113/Zfp551/LOC102551257/LOC102549410/Znf81L/RT1-Bb/Zfp141/Zfp442/LOC120095871/LOC102555289/Znf624l/Socs3/LOC102555902/LOC102547920/LOC100912683",308
"rno05132","Human Diseases","Infectious disease: bacterial","rno05132","Salmonella infection","204/5855","268/10049",4.21529502428154e-10,7.56534528042107e-09,3.1994206001472e-09,"Bak1/Mapk14/Mapk13/Gcc2/Arpc1b/Arpc1a/Cyth3/Mapk1/Mapk9/Cyth1/Nlrp3/Acbd3/Tuba4a/Dynlt3/Tab3/Rilp/Map2k4/Pfn1/Pkn1/Traf6/Myc/Map2k6/Kif5c/Rock2/Pak3/Arf2/Actr2/Dync2li1/Map3k7/Skp1/Birc3/Kif5a/Irak4/Dctn2/Arl8a/Traf2/Cyct/Fyco1/Wasl/Mapk11/Dync1h1/Nfkbia/Cse1l/Actr10/Fos/Dnm2/Vps39/Arpc3/Jun/Arpc4/Dynll2/Ripk2/Il18/Dync1i1/Dctn1/Dync1i2/Brk1/Raf1/Tubb4b/Map2k1/Cycs/Casp3/Nod1/Kpna4/Dync1li1/Birc2/Dynll1/Klc1/Plekhm2/Cyfip1/Myo6/Rab7a/Txn1/Podxl/Dctn6/Cdc42/Rala/Myd88/Vps18/Arpc2/Myl7/Dctn3l1/Arpc5l/Arhgef26/Dctn3/Tcf7l2/Tcf7l1/Fbxo22/M6pr/Tradd/Myl12a/Tab2/Pik3cb/Hras/Actr1b/Snx33/Tubb3/Pfn2/Kif5b/Rps3/Myl11/Ripk1/Dctn5/Dynlt1/Tubb6/Ikbkb/Dctn4/Pycard/Actr1a/Hsp90ab1/Map2k2/Rhog/Rras/Bax/Cyth2/Vps16/Hsp90b1/Rab5c/Chuk/Akt1/Klc4/Tuba1c/Kpna3/Dync1li2/S100a10/Nfkb1/Mlkl/Plekhm1/Tirap/Anxa2/Klc2/Pik3c2g/Actr3b/Pik3c2b/Mapk12/Rela/Tnfrsf1a/Elmo2/Pak1/Rab9a/Gapdh/LOC303448/Actg1/LOC100361457/Pik3c2a/Abi1/Akt3/Map2k7/Rab5b/Casp4/Arpc5/Mapk8/Vps11/Nckap1l/Mapk10/Snx18/Pik3c3/Txn2/Exoc5/Dynlrb1/Tab1/Exoc7/Klc3/Exoc4/Rhoa/Map2k3/Rab9b/Fadd/Tubb1/Snx9/Tubb4a/Gsdmd/Exoc2/Elmo1/Kpna1/Ikbkg/Ctnnb1/Ahnak/Tubb5/Flna/Arf1/Actb/Casp7/Arl8b/Tuba1b/Tuba1a/Pik3ca/Rab5a/Actr3/Fhod1/Tubb2a/Hsp90aa1/Rac1/Mapk3/Vps33a/Irak1/Vps41/Nckap1/Tcf7/Arf6/Akt2/Il6/Ly96/Tnfsf10",204
"rno04218","Cellular Processes","Cell growth and death","rno04218","Cellular senescence","147/5855","185/10049",6.33972624246945e-10,1.08092332434104e-08,4.57127629062271e-09,"Pik3r3/Foxo3/Mapk14/Mapk13/Traf3ip2/RT1-M3-1/RT1-N3/RT1-S3/Serpine1/Mapk1/Lin54/Tgfb2/Sqstm1/Myc/Ppp1cb/Map2k6/Zfp36l2/Hus1/Gadd45a/Foxm1/Rassf5/Vdac1/Mapk11/Tgfbr1/Calml4/Mybl2/Ccne2/Chek1/Ets1/Nbn/Mre11/Ppp3cc/Tgfb3/Raf1/Map2k1/Mtor/Gata4/Slc25a4/Slc25a5/Slc25a6/Hipk3/Tsc2/Tsc1/Rras2/Rbl2/Foxo1/Gadd45g/Vdac2/Ccne1/E2f4/Ccna2/Rb1/Pik3cb/Hras/Btrc/E2f1/Calm3/Rad1/Ppp1ca/Rad9a/Pik3r1/Vdac3/Pik3r2/Gadd45b/Map2k2/Nfatc4/Rras/Tgfb1/Cdc25a/Pten/Hipk4/Lin37/Capn1/Rbbp4/Akt1/Cdk4/Cdk2/Nfkb1/Ppid/Nras/Smad3/Ccna1/Itpr2/Cacna1d/RT1-M6-1/RT1-M6-2/Itpr1/Mapk12/E2f5/Rela/Capn2/Tp53/Smad2/RT1-T24-4/Ppp3ca/Rad9b/Ppp1cc/RT1-CE2/Atr/RT1-N2/Mras/Atm/Hipk1/Chek2/Akt3/Nfatc1/RT1-CE16/Mapkapk2/RT1-T24-3/Rad50/Fbxw11/Lin52/Calm1/Rbl1/Hipk2/Mdm2/Mcu/Rheb/E2f2/Map2k3/Lin9/Ccnd3/Sirt1/RT1-CE11/E2f3/Ppp3cb/RT1-CE1/Ccnb1/RT1-O1/Pik3ca/Cdk1/Nfatc3/Mapk3/Igfbp3/Ccnd1/Itpr3/Cdkn1a/Ccnd2/Eif4ebp1/RT1-CE15/Ccnb2/Akt2/Nfatc2/Ppp3r2/Il6/Trpm7/Calm2",147
"rno04150","Environmental Information Processing","Signal transduction","rno04150","mTOR signaling pathway","130/5855","161/10049",8.80379870316531e-10,1.42956921799018e-08,6.04571640267492e-09,"Pik3r3/Clip1/Fzd9/Dvl3/Mapk1/Atp6v1a/Ulk2/Gsk3b/RragB/Flcn/Prkca/Wnt9b/Wnt3/Rps6kb1/Rptor/Grb2/LOC100361543/Deptor/Lpin1/Fzd6/Sos2/Atp6v1c1/Rps6ka3/Sos1/Prkaa2/Mios/Strada/Slc38a9/Raf1/Map2k1/Lamtor3/Mtor/Mlst8/Sec13/Braf/Atp6v1b2/Ins1/Sgk1/Cab39l/Tsc2/Prkcb/Atp6v1e1/Tsc1/Tti1/Prkaa1/Rps6ka2/Wnt4/Tbc1d7/Igf1r/Irs1/Fzd5/Rnf152/Lpin2/Atp6v1e2/Wnt5a/Fzd7/Wnt11/Pik3cb/Lrp5/Hras/Lpin3/Telo2/Rragc/Mapkap1/Dvl2/Lamtor5/Slc3a2/Pik3r1/Slc7a5/Ikbkb/Pik3r2/Dvl1/Eif4e2/Wdr24/Lamtor1/Map2k2/Akt1s1/Ins2/Pten/Lamtor4/Rictor/Rps6kb2/Chuk/Akt1/Fzd2/Fnip2/Nras/Stradb/Wdr59/Tnfrsf1a/Nprl2/Ulk1/Akt3/Wnt9a/Stk11/Atp6v1h/Nprl3/Cab39/Insr/Sesn2/Pdpk1/Depdc5/Rragd/Rps6ka1/Fzd3/Rhoa/Rheb/Atp6v1c2/Rps6/Atp6v1g2/Rps6ka6/Lrp6/Pik3ca/Ddit4/Mapk3/Skp2/Eif4e/Eif4e1b/Lamtor2/Atp6v1d/Eif4ebp1/Akt2/Prkcg/Fzd4/Wnt7b/Castor2/Atp6v1g1/Fnip1/Fzd8/Prr5",130
"rno04330","Environmental Information Processing","Signal transduction","rno04330","Notch signaling pathway","59/5855","64/10049",1.42636442468226e-09,2.13052703300941e-08,9.01010043285351e-09,"Notch4/Hdac2/Ncor2/Dtx2/Dvl3/Hes1/Maml1/Crebbp/Ncstn/Tle6/Jag1/Mfng/Nrarp/Psen1/Hdac1/Numb/Tle4/Tle3/Hey2/Dll4/Jag2/Atxn1/Ctbp2/Aph1b/Aph1bl2/Dvl2/Notch2/Dll3/Notch1/Dvl1/Psenen/Maml2/Notch3/Dtx3l/Psen2/Kat2a/Spen/Aph1a/Numbl/Snw1/Ctbp1/Tle1/Atxn1l/Tle2/Cir1/Rbpj/Dtx1/Rfng/Itch/Dll1/Adam17/Dtx4/Dtx3/Maml3/Lfng/Kat2b/Hey1/Ep300/Rbpjl",59
"rno04152","Environmental Information Processing","Signal transduction","rno04152","AMPK signaling pathway","107/5855","129/10049",1.43701236830547e-09,2.13052703300941e-08,9.01010043285351e-09,"Ppp2r5a/Pik3r3/Pfkfb1/Foxo3/Elavl1/Prkab1/Pfkl/Camkk2/Irs3/Srebf1/Rps6kb1/Rptor/Adipor1/Ppp2r5c/Ppp2ca/Map3k7/Creb3l1/Rab11b/Ppp2r3a/Adipor2/Prkaa2/Strada/Hnf4a/Adra1a/Cpt1b/Mtor/Ppp2r1a/Ppp2r2a/Ins1/Cab39l/Tsc2/Tsc1/Creb3l2/Prkaa1/Foxo1/Creb1/Igf1r/Irs1/Cpt1a/Mlycd/Ppp2cb/Ccna2/Hmgcr/Pik3cb/Eef2k/Ppp2r5d/Ppp2r2d/Pfkp/Slc2a4/Fbp1/Fbp2/Pck2/Rab14/Pik3r1/Pfkfb3/Pik3r2/Akt1s1/Ins2/Lipe/G6pc1/Pfkfb4/Gys1/G6pc3/Ppp2r5b/Tbc1d1/Rps6kb2/Akt1/Irs2/Ppp2r3c/Cpt1c/Pfkfb2/Ccna1/Acaca/Ppp2r2b/Stradb/Eef2/Ulk1/Akt3/Stk11/Prkab2/Ppp2r1b/Creb3/Cab39/Insr/Pdpk1/Rab10/Ppp2r3b/Rheb/Fasn/Scd2/Ppp2r5e/Rab8a/Pfkm/Sirt1/Acacb/Prkag1/Pik3ca/Ppp2r2c/Ccnd1/Crtc2/Lepr/Prkag2/Eif4ebp1/Akt2/Ppargc1a/Rab2a/Creb5",107
"rno05100","Human Diseases","Infectious disease: bacterial","rno05100","Bacterial invasion of epithelial cells","70/5855","79/10049",3.2181139166917e-09,4.57240352329945e-08,1.93369125695949e-08,"Pik3r3/Arpc1b/Arpc1a/Crkl/Septin9/Cltc/Crk/Actr2/Ctnna2/Ctnna1/Wasl/Septin3/Shc2/Dnm2/Shc4/Ptk2/Arpc3/Arpc4/Src/Itgb1/Vcl/Cd2ap/Arhgap10/Cdc42/Arpc2/Arpc5l/Shc3/Arhgef26/Clta/Fn1/Elmo3/Pik3cb/Cltb/Septin2/Gab1/Pik3r1/Ilk/Pik3r2/Cdh1/Rhog/Shc1/Cttn/Bcar1/Actr3b/Pxn/Dnm1/Elmo2/Ctnna3/Actg1/LOC100361457/Septin1/Mad2l2/Arpc5/Septin8/Septin11/Wasf2/Septin6/Rhoa/Wasf1/Elmo1/Ctnnb1/Actb/Pik3ca/Actr3/Met/Rac1/Itga5/Cbl/Dnm3/Cav1",70
"rno04012","Environmental Information Processing","Signal transduction","rno04012","ErbB signaling pathway","75/5855","86/10049",4.56734926332826e-09,6.22986439517975e-08,2.63463936453041e-08,"Pik3r3/Mapk1/Crkl/Cblb/Gsk3b/Mapk9/Prkca/Rps6kb1/Map2k4/Grb2/Egfr/Myc/Crk/Sos2/Pak3/Pak5/Sos1/Pak6/Shc2/Shc4/Ptk2/Jun/Src/Elk1/Raf1/Map2k1/Mtor/Braf/Camk2d/Prkcb/Shc3/Nck1/Pik3cb/Hras/Nck2/Gab1/Hbegf/Pik3r1/Nrg2/Pik3r2/Stat5b/Stat5a/Pak4/Map2k2/Shc1/Bad/Rps6kb2/Akt1/Nras/Araf/Camk2a/Abl1/Pak1/Cdkn1b/Pak2/Tgfa/Akt3/Abl2/Map2k7/Mapk8/Camk2g/Mapk10/Camk2b/Plcg1/Pik3ca/Mapk3/Egf/Cdkn1a/Eif4ebp1/Nrg1/Akt2/Cbl/Prkcg/Btc/Erbb3",75
